i,result,miliseconds
0,0,0
1,1,0
2,1,0
3,2,0
4,3,0
5,5,0
6,8,0
7,13,0
8,21,0
9,34,0
10,55,0
11,89,0
12,144,0
13,233,0
14,377,0
15,610,0
16,987,0
17,1597,0
18,2584,0
19,4181,0
20,6765,0
21,10946,0
22,17711,0
23,28657,0
24,46368,0
25,75025,0
26,121393,0
27,196418,0
28,317811,0
29,514229,0
30,832040,0
31,1346269,0
32,2178309,0
33,3524578,0
34,5702887,0
35,9227465,0
36,14930352,0
37,24157817,0
38,39088169,0
39,63245986,0
40,102334155,0
41,165580141,0
42,267914296,0
43,433494437,0
44,701408733,0
45,1134903170,0
46,1836311903,0
47,2971215073,0
48,4807526976,0
49,7778742049,0
50,12586269025,0
51,20365011074,0
52,32951280099,0
53,53316291173,0
54,86267571272,0
55,139583862445,0
56,225851433717,0
57,365435296162,0
58,591286729879,0
59,956722026041,0
60,1548008755920,0
61,2504730781961,0
62,4052739537881,0
63,6557470319842,0
64,10610209857723,0
65,17167680177565,0
66,27777890035288,0
67,44945570212853,0
68,72723460248141,0
69,117669030460994,0
70,190392490709135,0
71,308061521170130,0
72,498454011879265,0
73,806515533049395,0
74,1304969544928660,0
75,2111485077978055,0
76,3416454622906716,0
77,5527939700884771,0
78,8944394323791488,0
79,14472334024676260,0
80,23416728348467744,0
81,37889062373144008,0
82,61305790721611752,0
83,99194853094755776,0
84,160500643816367552,0
85,259695496911123328,0
86,420196140727490880,0
87,679891637638614272,0
88,1100087778366105088,0
89,1779979416004719360,0
90,2880067194370824704,0
91,4660046610375544832,0
92,7540113804746369024,0
93,9223372036854775807,0
94,9223372036854775807,0
95,9223372036854775807,0
96,9223372036854775807,0
97,9223372036854775807,0
98,9223372036854775807,0
99,9223372036854775807,0
100,9223372036854775807,0
101,9223372036854775807,0
102,9223372036854775807,0
103,9223372036854775807,0
104,9223372036854775807,0
105,9223372036854775807,0
106,9223372036854775807,0
107,9223372036854775807,0
108,9223372036854775807,0
109,9223372036854775807,0
110,9223372036854775807,0
111,9223372036854775807,0
112,9223372036854775807,0
113,9223372036854775807,0
114,9223372036854775807,0
115,9223372036854775807,0
116,9223372036854775807,0
117,9223372036854775807,0
118,9223372036854775807,0
119,9223372036854775807,0
120,9223372036854775807,0
121,9223372036854775807,0
122,9223372036854775807,0
123,9223372036854775807,0
124,9223372036854775807,0
125,9223372036854775807,0
126,9223372036854775807,0
127,9223372036854775807,0
128,9223372036854775807,0
129,9223372036854775807,0
130,9223372036854775807,0
131,9223372036854775807,0
132,9223372036854775807,0
133,9223372036854775807,0
134,9223372036854775807,0
135,9223372036854775807,0
136,9223372036854775807,0
137,9223372036854775807,0
138,9223372036854775807,0
139,9223372036854775807,0
140,9223372036854775807,0
141,9223372036854775807,0
142,9223372036854775807,0
143,9223372036854775807,0
144,9223372036854775807,0
145,9223372036854775807,0
146,9223372036854775807,0
147,9223372036854775807,0
148,9223372036854775807,0
149,9223372036854775807,0
150,9223372036854775807,0
151,9223372036854775807,0
152,9223372036854775807,0
153,9223372036854775807,0
154,9223372036854775807,0
155,9223372036854775807,0
156,9223372036854775807,0
157,9223372036854775807,0
158,9223372036854775807,0
159,9223372036854775807,0
160,9223372036854775807,0
161,9223372036854775807,0
162,9223372036854775807,0
163,9223372036854775807,0
164,9223372036854775807,0
165,9223372036854775807,0
166,9223372036854775807,0
167,9223372036854775807,0
168,9223372036854775807,0
169,9223372036854775807,0
170,9223372036854775807,0
171,9223372036854775807,0
172,9223372036854775807,0
173,9223372036854775807,0
174,9223372036854775807,0
175,9223372036854775807,0
176,9223372036854775807,0
177,9223372036854775807,0
178,9223372036854775807,0
179,9223372036854775807,0
180,9223372036854775807,0
181,9223372036854775807,0
182,9223372036854775807,0
183,9223372036854775807,0
184,9223372036854775807,0
185,9223372036854775807,0
186,9223372036854775807,0
187,9223372036854775807,0
188,9223372036854775807,0
189,9223372036854775807,0
190,9223372036854775807,0
191,9223372036854775807,0
192,9223372036854775807,0
193,9223372036854775807,0
194,9223372036854775807,0
195,9223372036854775807,0
196,9223372036854775807,0
197,9223372036854775807,0
198,9223372036854775807,0
199,9223372036854775807,0
200,9223372036854775807,0
201,9223372036854775807,0
202,9223372036854775807,0
203,9223372036854775807,0
204,9223372036854775807,0
205,9223372036854775807,0
206,9223372036854775807,0
207,9223372036854775807,0
208,9223372036854775807,0
209,9223372036854775807,0
210,9223372036854775807,0
211,9223372036854775807,0
212,9223372036854775807,0
213,9223372036854775807,0
214,9223372036854775807,0
215,9223372036854775807,0
216,9223372036854775807,0
217,9223372036854775807,0
218,9223372036854775807,0
219,9223372036854775807,0
220,9223372036854775807,0
221,9223372036854775807,0
222,9223372036854775807,0
223,9223372036854775807,0
224,9223372036854775807,0
225,9223372036854775807,0
226,9223372036854775807,0
227,9223372036854775807,0
228,9223372036854775807,0
229,9223372036854775807,0
230,9223372036854775807,0
231,9223372036854775807,0
232,9223372036854775807,0
233,9223372036854775807,0
234,9223372036854775807,0
235,9223372036854775807,0
236,9223372036854775807,0
237,9223372036854775807,0
238,9223372036854775807,0
239,9223372036854775807,0
240,9223372036854775807,0
241,9223372036854775807,0
242,9223372036854775807,0
243,9223372036854775807,0
244,9223372036854775807,0
245,9223372036854775807,0
246,9223372036854775807,0
247,9223372036854775807,0
248,9223372036854775807,0
249,9223372036854775807,0
250,9223372036854775807,0
251,9223372036854775807,0
252,9223372036854775807,0
253,9223372036854775807,0
254,9223372036854775807,0
255,9223372036854775807,0
256,9223372036854775807,0
257,9223372036854775807,0
258,9223372036854775807,0
259,9223372036854775807,0
260,9223372036854775807,0
261,9223372036854775807,0
262,9223372036854775807,0
263,9223372036854775807,0
264,9223372036854775807,0
265,9223372036854775807,0
266,9223372036854775807,0
267,9223372036854775807,0
268,9223372036854775807,0
269,9223372036854775807,0
270,9223372036854775807,0
271,9223372036854775807,0
272,9223372036854775807,0
273,9223372036854775807,0
274,9223372036854775807,0
275,9223372036854775807,0
276,9223372036854775807,0
277,9223372036854775807,0
278,9223372036854775807,0
279,9223372036854775807,0
280,9223372036854775807,0
281,9223372036854775807,0
282,9223372036854775807,0
283,9223372036854775807,0
284,9223372036854775807,0
285,9223372036854775807,0
286,9223372036854775807,0
287,9223372036854775807,0
288,9223372036854775807,0
289,9223372036854775807,0
290,9223372036854775807,0
291,9223372036854775807,0
292,9223372036854775807,0
293,9223372036854775807,0
294,9223372036854775807,0
295,9223372036854775807,0
296,9223372036854775807,0
297,9223372036854775807,0
298,9223372036854775807,0
299,9223372036854775807,0
