i,result,miliseconds
0,0,0
1,1,0
2,1,0
3,2,0
4,3,0
5,5,0
6,8,0
7,13,0
8,21,0
9,34,0
10,55,0
11,89,0
12,144,0
13,233,0
14,377,0
15,610,0
16,987,0
17,1597,0
18,2584,0
19,4181,0
20,6765,0
21,10946,0
22,17711,0
23,28657,0
24,46368,0
25,75025,0
26,121393,0
27,196418,0
28,317811,0
29,514229,0
30,832040,0
31,1346269,0
32,2178309,0
33,3524578,0
34,5702887,0
35,9227465,0
36,14930352,0
37,24157817,0
38,39088169,0
39,63245986,0
40,102334155,0
41,165580141,0
42,267914296,0
43,433494437,0
44,701408733,0
45,1134903170,0
46,1836311903,0
47,2971215073,0
48,4807526976,0
49,7778742049,0
50,12586269025,0
51,20365011074,0
52,32951280099,0
53,53316291173,0
54,86267571272,0
55,139583862445,0
56,225851433717,0
57,365435296162,0
58,591286729879,0
59,956722026041,0
60,1548008755920,0
61,2504730781961,0
62,4052739537881,0
63,6557470319842,0
64,10610209857723,0
65,17167680177565,0
66,27777890035288,0
67,44945570212853,0
68,72723460248141,0
69,117669030460994,0
70,190392490709135,0
71,308061521170129,0
72,498454011879264,0
73,806515533049393,0
74,1304969544928657,0
75,2111485077978050,0
76,3416454622906707,0
77,5527939700884757,0
78,8944394323791464,0
79,14472334024676221,0
80,23416728348467685,0
81,37889062373143906,0
82,61305790721611591,0
83,99194853094755497,0
84,160500643816367088,0
85,259695496911122585,0
86,420196140727489673,0
87,679891637638612258,0
88,1100087778366101931,0
89,1779979416004714189,0
90,2880067194370816120,0
91,4660046610375530309,0
92,7540113804746346429,0
