stars_rating	title
7.7	Zodiac
8.2	Mary and Max
7.7	The Producers
8.6	Spirited Away
7.4	The NeverEnding Story
8.7	City of God
8.4	The Kid
8.2	Gran Torino
7.8	Changeling
8	Persepolis
7.7	Training Day
7.7	Les Miserables
7.9	Captain Phillips
7.7	Inside Man
7.8	Sabrina
8.2	Into the Wild
8.1	Jaws
7.7	Kick-Ass
7.7	The Muppet Christmas Carol
7.6	The Blind Swordsman: Zatoichi
7.8	The Day the Earth Stood Still
7.5	Quiz Show
7.6	Batman
8.2	The Wolf of Wall Street
7.7	Kiss Kiss Bang Bang
8.1	The Killing
7.8	Belle de Jour
7.5	Mud
8	Patton
8.1	Prisoners
7.8	As Good as It Gets
7.9	The Chorus
7.6	House of Flying Daggers
8.2	Warrior
8.4	Toy Story 3
7.4	Manhattan Murder Mystery
7.7	La grande bellezza
8.1	The Wizard of Oz
8.3	Monty Python and the Holy Grail
7.8	Mississippi Burning
7.6	The Raid: Redemption
7.8	Wreck-It Ralph
8	Serenity
7.7	Flipped
7.6	Robin Hood
7.6	The Hobbit: The Battle of the Five Armies
7.8	The Curious Case of Benjamin Button
7.6	The Piano
8	Rope
8.1	Wings of Desire
7.6	Lone Survivor
8	Aladdin
7.8	Zulu
7.4	The Cider House Rules
7.7	Barton Fink
7.7	Short Cuts
7.4	X-Men
7.4	Far from Heaven
7.7	Road to Perdition
8	True Romance
7.7	Dead Man
7.8	Serpico
7.5	Elizabeth
7.7	After Hours
8.9	Pulp Fiction
7.5	American Splendor
8	Rosemary"s Baby
7.8	Ghostbusters
8	The Hobbit: An Unexpected Journey
8.5	Alien
7.4	Sleepy Hollow
7.9	Toy Story 2
7.7	Sympathy for Lady Vengeance
7.7	The Dinner Game
8.4	Double Indemnity
7.6	A Royal Affair
8.4	American Beauty
7.5	Clerks II
8	Breathless
8.1	Barry Lyndon
7.8	The Game
8.5	Paths of Glory
7.6	Of Mice and Men
8.1	Le Samourai
7.8	Airplane!
7.6	A Few Good Men
7.6	Lethal Weapon
8.2	Rush
7.6	Little Children
8.1	The Raid 2
8.2	My Sassy Girl
7.7	Lolita
7.9	Key Largo
7.5	Still Alice
7.6	Garden State
7.6	I Am Sam
7.5	Les Miserables
8.5	Sunset Blvd.
8.1	Amores Perros
7.7	Star Wars: Episode III - Revenge of the Sith
8	Her
7.7	The Big Blue
8	This Is Spinal Tap
7.8	The Lego Movie
8.1	Elite Squad
7.6	United 93
7.8	Kung Fu Hustle
7.8	Empire of the Sun
7.8	The French Connection
8.1	The Terminator
8.2	It Happened One Night
7.5	Calvary
8	Scent of a Woman
7.5	Mulan
8.1	Infernal Affairs
8.1	High Noon
7.7	The Secret World of Arrietty
7.6	American Psycho
8.4	M
8.2	Lock, Stock and Two Smoking Barrels
7.8	Blue Velvet
8	The African Queen
7.6	High Plains Drifter
7.5	The Conjuring
7.9	Big Hero 6
7.5	Pi
7.8	October Sky
8.5	The Lion King
8.4	North by Northwest
7.8	Porco Rosso
8.2	Relatos salvajes
8	No Man"s Land
8	Kill Bill: Vol. 2
8.1	8 1/2
8	The Lady Vanishes
8.1	Cat on a Hot Tin Roof
7.7	Who Framed Roger Rabbit
8.9	Schindler"s List
8.1	Sin City
7.7	Frost/Nixon
8.1	Pirates of the Caribbean: The Curse of the Black Pearl
7.4	Terms of Endearment
7.6	The Naked Gun: From the Files of Police Squad!
7.8	Evil
7.5	A Simple Plan
7.5	The Wind That Shakes the Barley
7.9	The Boondock Saints
8.1	Chungking Express
7.6	Hoosiers
7.8	South Park: Bigger Longer & Uncut
8.2	Tae Guk Gi: The Brotherhood of War
7.4	Wonder Boys
7.7	Delicatessen
7.4	Frances Ha
8	Magnolia
7.7	Sophie"s Choice
7.4	The Rock
7.9	Crouching Tiger, Hidden Dragon
7.4	The Way Way Back
7.6	Collateral
7.6	The Others
7.8	The Motorcycle Diaries
7.7	Spellbound
7.5	Marathon Man
7.9	The Bride of Frankenstein
7.5	Straw Dogs
7.6	Volver
9.2	The Godfather
8	Freaks
7.8	Apocalypto
7.8	The White Ribbon
7.7	Sense and Sensibility
7.8	Harry Potter and the Prisoner of Azkaban
7.7	Zombieland
7.6	Hugo
8.3	The Gold Rush
8.2	The Thing
7.9	Breaking the Waves
8.5	The Pianist
8.9	The Lord of the Rings: The Return of the King
7.8	Good Bye Lenin!
8.5	Back to the Future
7.4	Back to the Future Part III
8	Dances with Wolves
7.6	Selma
7.6	Dracula
7.7	Traffic
9	The Dark Knight
7.7	A Hard Day"s Night
8.2	Cool Hand Luke
7.9	Mr. Nobody
8.1	Dog Day Afternoon
7.7	Dangerous Liaisons
8.3	Good Will Hunting
8.3	Jagten
7.8	Dark City
7.6	Moneyball
8.3	Snatch.
7.6	Juno
7.6	Mad Max 2: The Road Warrior
7.6	Superbad
7.8	The Experiment
8	The Graduate
7.9	Boogie Nights
8.4	Aliens
7.6	The Damned United
7.9	Miller"s Crossing
7.7	Eastern Promises
7.7	Brokeback Mountain
8.7	Seven Samurai
7.9	The 39 Steps
8.5	Cinema Paradiso
8	Frankenstein
7.9	Adam"s Apples
8.6	Whiplash
8.1	Monsters, Inc.
7.7	Fearless
8.1	The Last Picture Show
7.5	The Class
8.2	Dial M for Murder
7.7	Ponyo
7.7	Love Actually
7.9	Birdman: Or (The Unexpected Virtue of Ignorance)
7.5	Bullitt
7.9	The Girl with the Dragon Tattoo
7.8	Being John Malkovich
7.6	The Book Thief
7.6	The Godfather: Part III
7.8	Withnail & I
8	The Sound of Music
7.7	Philadelphia
8	Hannah and Her Sisters
7.5	Frenzy
7.6	A Single Man
7.7	Gone Baby Gone
7.6	The Thin Red Line
7.8	Repulsion
7.7	Saw
7.8	Predator
7.4	True Grit
7.6	Braindead
7.6	Blow
7.6	The Great Debaters
8.1	X-Men: Days of Future Past
8.1	Groundhog Day
8.4	Swades
7.5	Source Code
8	Brazil
8.3	Unforgiven
7.5	The Texas Chain Saw Massacre
8.4	Taxi Driver
7.6	August Rush
7.8	Control
8.2	The Deer Hunter
7.4	Limitless
8.1	The Man Who Shot Liberty Valance
7.4	National Lampoon"s Vacation
7.7	Grindhouse
7.7	True Grit
7.9	My Left Foot
8.3	Barfi!
8.3	Inglourious Basterds
7.5	Looper
7.6	Hunger
8.5	Apocalypse Now
8.5	Gladiator
8.1	The Perks of Being a Wallflower
8.6	Life Is Beautiful
8.1	3-Iron
7.7	A Very Long Engagement
7.7	Cast Away
8.1	Anatomy of a Murder
7.8	The Fugitive
7.8	Atonement
7.8	The Day of the Jackal
7.5	Legends of the Fall
8.2	Network
8	Charade
7.7	Mysterious Skin
7.7	The Blind Side
7.9	The Notebook
8.2	Trainspotting
7.9	The Pursuit of Happyness
8.3	The General
8.1	No Country for Old Men
7.7	Dawn of the Planet of the Apes
8	All the President"s Men
7.8	X-Men: First Class
7.8	Tangled
7.8	Invasion of the Body Snatchers
8.4	Reservoir Dogs
7.8	Rebel Without a Cause
8.3	Pan"s Labyrinth
7.4	Raising Arizona
7.9	The Conversation
7.6	Jin ling shi san chai
7.6	Tell No One
7.6	Rise of the Planet of the Apes
7.7	The Machinist
7.5	Ghost World
7.6	Indiana Jones and the Temple of Doom
8.1	A Fistful of Dollars
8.4	Princess Mononoke
7.9	Ying xiong
8.5	The Great Dictator
8	Rain Man
7.7	The Hunger Games: Catching Fire
8.4	Amelie
8.2	Casino
7.7	Where Eagles Dare
7.4	Pirate Radio
8	The Iron Giant
7.7	The Count of Monte Cristo
8.3	Ran
7.4	Labyrinth
7.4	The English Patient
8.4	Once Upon a Time in America
8.7	Goodfellas
7.6	Midnight Run
7.7	Snow White and the Seven Dwarfs
7.6	Equilibrium
8.6	The Intouchables
7.5	The Proposition
8.3	The Bridge on the River Kwai
7.8	Kaze tachinu
8.3	Raging Bull
7.5	Transamerica
8.1	Rio Bravo
7.5	Bad Education
8.5	The Prestige
7.9	4 Months, 3 Weeks and 2 Days
7.4	Home Alone
7.8	Blazing Saddles
8.7	The Usual Suspects
8.1	The Truman Show
7.8	Silver Linings Playbook
7.5	X2
8.8	Forrest Gump
7.4	Tootsie
7.6	Keith
8.4	Munna Bhai M.B.B.S.
8	Black Swan
7.9	Once
7.8	Night on Earth
8.3	L.A. Confidential
7.5	Pleasantville
8.8	The Lord of the Rings: The Two Towers
7.6	Army of Darkness
7.8	Misery
7.6	The Hurt Locker
7.6	House of Sand and Fog
7.6	Field of Dreams
8	Edward Scissorhands
7.6	The Fisher King
7.7	Fury
7.4	La Femme Nikita
7.5	Biutiful
8.4	Amadeus
8.6	Modern Times
8.1	There Will Be Blood
8	Head-On
7.8	The Last of the Mohicans
7.5	Pinocchio
7.7	Lost Highway
7.8	The Social Network
8.3	Up
7.5	Notes on a Scandal
7.7	End of Watch
8.1	Departures
7.6	The Abyss
7.5	2046
8.2	Diabolique
8	Dogville
7.6	Following
7.5	Brick
7.8	Back to the Future Part II
7.7	Harry Potter and the Deathly Hallows: Part 1
7.6	Ghost Dog: The Way of the Samurai
7.6	The Royal Tenenbaums
8.2	Incendies
7.5	Best in Show
7.5	Say Anything...
8.5	3 Idiots
7.6	Boys Don"t Cry
8	Mystic River
8.5	The Lives of Others
8.9	The Good, the Bad and the Ugly
8.5	Memento
8.4	Oldeuboi
8.2	Finding Nemo
8	Battleship Potemkin
8.3	The Wages of Fear
8	In the Heat of the Night
7.7	The Last King of Scotland
8.2	The Best Years of Our Lives
7.8	Gattaca
8.2	Blade Runner
8.4	Witness for the Prosecution
8.2	Stalker
8.7	It"s a Wonderful Life
7.8	Guess Who"s Coming to Dinner
8	Days of Heaven
7.5	Babel
8	Shaun of the Dead
7.7	Adaptation.
8.3	Toy Story
8	Furious 7
7.7	Fear and Loathing in Las Vegas
8.3	Mr. Smith Goes to Washington
8.2	Underground
8.1	Stalag 17
7.8	The Girl with the Dragon Tattoo
8.1	Shutter Island
7.6	The Hurricane
8.1	Before Sunset
7.6	Falling Down
7.7	Match Point
7.6	Leaving Las Vegas
7.7	The City of Lost Children
7.6	The Party
7.5	Felon
7.5	The Mission
7.7	Detachment
7.8	The Sandlot
8.3	Downfall
8.4	Rang De Basanti
8.1	Memories of Murder
8	Letters from Iwo Jima
8.2	Black Cat, White Cat
7.5	In the Loop
8.2	The Princess Bride
8	Catch Me If You Can
7.7	Sympathy for Mr. Vengeance
8	Star Trek
7.5	Perfume: The Story of a Murderer
8.4	A Clockwork Orange
7.8	The Color Purple
7.4	Poltergeist
7.6	The Meaning of Life
8.6	Rear Window
7.6	An American Werewolf in London
7.9	Gravity
8.1	Beauty and the Beast
8.4	Braveheart
7.5	Up in the Air
8.4	All About Eve
8.1	The Wild Bunch
7.5	Three Days of the Condor
7.7	Stardust
7.8	Goldfinger
7.6	The Jungle Book
7.5	The Judge
7.4	Harry Potter and the Order of the Phoenix
7.7	Titanic
8.3	The Secret in Their Eyes
8.6	Saving Private Ryan
7.5	The Man Who Knew Too Much
7.9	Cabaret
7.9	Badlands
8.5	The Green Mile
8	Let the Right One In
8.1	La Strada
8.5	Terminator 2: Judgment Day
7.5	Sleepers
8	The Artist
7.8	The Name of the Rose
8.1	What Ever Happened to Baby Jane?
7.7	Paprika
7.8	Amour
7.9	The World"s Fastest Indian
8.4	Eternal Sunshine of the Spotless Mind
8.2	Butch Cassidy and the Sundance Kid
8.3	Lagaan: Once Upon a Time in India
7.7	Show Me Love
7.6	The Town
8	Being There
7.6	Funny Games
8.2	Persona
7.8	The Bourne Supremacy
7.7	The Butterfly Effect
7.4	Lincoln
8	Doctor Zhivago
7.7	This Is England
8.6	Casablanca
7.5	Maria Full of Grace
8.6	The Silence of the Lambs
7.6	Interview with the Vampire: The Vampire Chronicles
7.5	The Devil"s Backbone
7.9	The Remains of the Day
8.6	Once Upon a Time in the West
7.6	The Reader
7.7	Shine
8	East of Eden
8.2	The 400 Blows
8.9	12 Angry Men
7.6	The Last Temptation of Christ
7.7	Dazed and Confused
7.6	Jusan-nin no shikaku
7.5	Begin Again
7.7	First Blood
8.1	La Haine
8	Spartacus
8.3	My Neighbor Totoro
7.7	Stranger Than Fiction
8.2	The Sixth Sense
7.9	Avatar
7.6	Harry Potter and the Goblet of Fire
8.1	Stand by Me
7.9	All About My Mother
8.1	Spring, Summer, Fall, Winter... and Spring
7.9	Down by Law
7.7	Boy A
7.6	Munich
8	Slumdog Millionaire
8.1	12 Years a Slave
8.1	Harvey
7.6	The Little Mermaid
8.2	Touch of Evil
7.5	Bullets Over Broadway
8.1	Boyhood
7.9	Glengarry Glen Ross
8.2	The Battle of Algiers
8.2	A Beautiful Mind
7.9	Lilya 4-Ever
7.8	Lost in Translation
8.1	Rocky
8.1	Duck Soup
7.6	Dead Man Walking
7.9	The Right Stuff
7.9	Hot Fuzz
8.3	2001: A Space Odyssey
8.7	Interstellar
7.4	Excalibur
7.8	Donnie Brasco
8.2	The Grapes of Wrath
7.8	Zelig
8	The Adventures of Robin Hood
7.8	The Last Emperor
7.8	The Birds
7.8	Hamlet
7.8	Office Space
7.9	Bonnie and Clyde
8.1	The Big Sleep
7.5	Life as a House
7.6	Die Hard: With a Vengeance
8.2	Rebecca
8.2	The Big Lebowski
8.4	Lawrence of Arabia
8	The Searchers
7.8	Ordinary People
7.4	A Bridge Too Far
8.4	Vertigo
8.2	Howl"s Moving Castle
7.6	The Assassination of Jesse James by the Coward Robert Ford
8.1	Who"s Afraid of Virginia Woolf?
7.6	The Legend of Drunken Master
7.8	Battle Royale
7.6	It"s a Mad, Mad, Mad, Mad World
7.5	Freedom Writers
8.4	Dilwale Dulhania Le Jayenge
7.6	Jacob"s Ladder
7.6	Star Trek: First Contact
7.9	Little Miss Sunshine
7.5	The Three Burials of Melquiades Estrada
7.9	Toki o kakeru shojo
8.2	Fanny and Alexander
8.3	Some Like It Hot
7.9	The Man Who Would Be King
8.2	The Avengers
7.9	E.T. the Extra-Terrestrial
8.1	Sling Blade
8.5	Taare Zameen Par
7.9	Carlito"s Way
8.3	Judgment at Nuremberg
7.7	The Warriors
8	The Exorcist
8.5	The Dark Knight Rises
8.3	For a Few Dollars More
7.6	The Hunt for Red October
7.8	3:10 to Yuma
7.7	Remember the Titans
8.1	The Sea Inside
8.4	Yojimbo
8	The Nightmare Before Christmas
8.2	The Maltese Falcon
7.7	Minority Report
7.8	A Bronx Tale
7.5	A History of Violence
7.5	A Perfect World
8	Glory
7.8	Fantastic Mr. Fox
7.4	Wall Street
8.3	On the Waterfront
7.6	Man Bites Dog
7.8	Dirty Harry
7.6	Thank You for Smoking
7.8	Evil Dead II
7.9	My Fair Lady
8.1	Castle in the Sky
7.7	Three Colors: White
8	Talk to Her
8.1	Kingsman: The Secret Service
7.8	Finding Neverland
7.4	Beetlejuice
7.5	Suspiria
7.7	Philomena
7.9	Ed Wood
8.4	Citizen Kane
7.5	We Need to Talk About Kevin
8.2	Gone with the Wind
8.1	Solaris
7.6	127 Hours
7.9	Taken
7.7	Y Tu Mama Tambien
7.6	Christmas Vacation
8	Ghost in the Shell
7.8	Captain America: The Winter Soldier
7.4	Bound
8.3	Ikiru
7.9	Nine Queens
8.1	Paris, Texas
8.1	La Dolce Vita
8.4	Singin" in the Rain
7.8	The Best Offer
7.5	Gangs of New York
7.8	What"s Eating Gilbert Grape
8.5	The Shining
7.4	Master and Commander: The Far Side of the World
8.3	Batman Begins
7.6	Ice Age
7.7	Billy Elliot
8	Night of the Living Dead
7.6	Sherlock Holmes
7.5	Scott Pilgrim vs. the World
8.1	In the Mood for Love
8.1	The King"s Speech
7.4	Driving Miss Daisy
7.6	The Man Who Wasn"t There
7.8	Kramer vs. Kramer
8.7	Se7en
7.9	The Fighter
7.7	MASH
7.8	Nebraska
8.3	Full Metal Jacket
8.1	The Night of the Hunter
7.5	Across the Universe
8.2	Nausicaa of the Valley of the Wind
7.5	Reign Over Me
7.5	Good Night, and Good Luck.
7.8	Willy Wonka & the Chocolate Factory
7.9	The Bourne Identity
7.7	Love Me If You Dare
7.6	Fried Green Tomatoes
7.7	50/50
7.5	Sweeney Todd: The Demon Barber of Fleet Street
7.6	Lust, Caution
