title	rating
Zodiac	R
Mary and Max	NOT RATED
The Producers	PG
Spirited Away	PG
The NeverEnding Story	PG
City of God	R
The Kid	NOT RATED
Gran Torino	R
Changeling	R
Persepolis	PG-13
Training Day	R
Les Miserables	PG-13
Captain Phillips	PG-13
Inside Man	R
Sabrina	UNRATED
Into the Wild	R
Jaws	PG
Kick-Ass	R
The Muppet Christmas Carol	G
The Blind Swordsman: Zatoichi	R
The Day the Earth Stood Still	APPROVED
Quiz Show	PG-13
Batman	PG-13
The Wolf of Wall Street	R
Kiss Kiss Bang Bang	R
The Killing	APPROVED
Belle de Jour	APPROVED
Mud	PG-13
Patton	GP
Prisoners	R
As Good as It Gets	PG-13
The Chorus	PG-13
House of Flying Daggers	PG-13
Warrior	PG-13
Toy Story 3	G
Manhattan Murder Mystery	PG
La grande bellezza	NOT RATED
The Wizard of Oz	PASSED
Monty Python and the Holy Grail	PG
Mississippi Burning	R
The Raid: Redemption	R
Wreck-It Ralph	PG
Serenity	PG-13
Flipped	PG
Robin Hood	G
The Hobbit: The Battle of the Five Armies	PG-13
The Curious Case of Benjamin Button	PG-13
The Piano	R
Rope	PG
Wings of Desire	PG-13
Lone Survivor	R
Aladdin	G
Zulu	UNRATED
The Cider House Rules	PG-13
Barton Fink	R
Short Cuts	R
X-Men	PG-13
Far from Heaven	PG-13
Road to Perdition	R
True Romance	R
Dead Man	R
Serpico	R
Elizabeth	R
After Hours	R
Pulp Fiction	R
American Splendor	R
Rosemary"s Baby	R
Ghostbusters	PG
The Hobbit: An Unexpected Journey	PG-13
Alien	R
Sleepy Hollow	R
Toy Story 2	G
Sympathy for Lady Vengeance	R
The Dinner Game	PG-13
Double Indemnity	PASSED
A Royal Affair	R
American Beauty	R
Clerks II	R
Breathless	UNRATED
Barry Lyndon	PG
The Game	R
Paths of Glory	APPROVED
Of Mice and Men	PG-13
Le Samourai	PG
Airplane!	PG
A Few Good Men	R
Lethal Weapon	R
Rush	R
Little Children	R
The Raid 2	R
My Sassy Girl	NOT RATED
Lolita	NOT RATED
Key Largo	UNRATED
Still Alice	PG-13
Garden State	R
I Am Sam	PG-13
Les Miserables	PG-13
Sunset Blvd.	NOT RATED
Amores Perros	R
Star Wars: Episode III - Revenge of the Sith	PG-13
Her	R
The Big Blue	PG-13
This Is Spinal Tap	R
The Lego Movie	PG
Elite Squad	R
United 93	R
Kung Fu Hustle	R
Empire of the Sun	PG
The French Connection	R
The Terminator	R
It Happened One Night	UNRATED
Calvary	R
Scent of a Woman	R
Mulan	G
Infernal Affairs	R
High Noon	PG
The Secret World of Arrietty	G
American Psycho	R
M	NOT RATED
Lock, Stock and Two Smoking Barrels	R
Blue Velvet	R
The African Queen	PG
High Plains Drifter	R
The Conjuring	R
Big Hero 6	PG
Pi	R
October Sky	PG
The Lion King	G
North by Northwest	APPROVED
Porco Rosso	PG
Relatos salvajes	R
No Man"s Land	R
Kill Bill: Vol. 2	R
8 1/2	NOT RATED
The Lady Vanishes	PASSED
Cat on a Hot Tin Roof	APPROVED
Who Framed Roger Rabbit	PG
Schindler"s List	R
Sin City	R
Frost/Nixon	R
Pirates of the Caribbean: The Curse of the Black Pearl	PG-13
Terms of Endearment	R
The Naked Gun: From the Files of Police Squad!	PG-13
Evil	NOT RATED
A Simple Plan	R
The Wind That Shakes the Barley	NOT RATED
The Boondock Saints	R
Chungking Express	PG-13
Hoosiers	PG
South Park: Bigger Longer & Uncut	R
Tae Guk Gi: The Brotherhood of War	R
Wonder Boys	R
Delicatessen	R
Frances Ha	R
Magnolia	R
Sophie"s Choice	R
The Rock	R
Crouching Tiger, Hidden Dragon	PG-13
The Way Way Back	PG-13
Collateral	R
The Others	PG-13
The Motorcycle Diaries	R
Spellbound	UNRATED
Marathon Man	R
The Bride of Frankenstein	NOT RATED
Straw Dogs	UNRATED
Volver	R
The Godfather	R
Freaks	UNRATED
Apocalypto	R
The White Ribbon	R
Sense and Sensibility	PG
Harry Potter and the Prisoner of Azkaban	PG
Zombieland	R
Hugo	PG
The Gold Rush	NOT RATED
The Thing	R
Breaking the Waves	R
The Pianist	R
The Lord of the Rings: The Return of the King	PG-13
Good Bye Lenin!	R
Back to the Future	PG
Back to the Future Part III	PG
Dances with Wolves	PG-13
Selma	PG-13
Dracula	APPROVED
Traffic	R
The Dark Knight	PG-13
A Hard Day"s Night	APPROVED
Cool Hand Luke	PG
Mr. Nobody	R
Dog Day Afternoon	R
Dangerous Liaisons	R
Good Will Hunting	R
Jagten	R
Dark City	R
Moneyball	PG-13
Snatch.	R
